annotated_by,category,question
unsupervised,FACTOID,During what period did the Tower Theatre re-open?
unsupervised,FACTOID,During what year were citizens or corporations said to not be able to bring claims against other non state parties?
unsupervised,FACTOID,Each of the extended metropolitan areas has a population that exceeds what number?
unsupervised,FACTOID,Fielding H. Garrison believes that the science of geology can be traced to where?
unsupervised,FACTOID,For how many years was evidence shown that humans shaped the the Amazon?
unsupervised,FACTOID,France laid siege to Montpellier in what year?
unsupervised,FACTOID,From 2004 to 2005 Harvard reduced the number of students earning Latin honors from 90% to what?
unsupervised,FACTOID,Germany referred to which area more so than an actual country?
unsupervised,FACTOID,Governon Robert Dinwiddie had an investment in what significan company?
unsupervised,FACTOID,Hank Paulson is the former Chairman and CEO of what banking firm?
unsupervised,FACTOID,Harold WInston's supported which country's during its six day war?
unsupervised,FACTOID,"Harvard - Yale Regatta predates ""The Game"" by how many years?"
unsupervised,FACTOID,How far from state house in downtown Boston is Harvard Yard?
unsupervised,FACTOID,How far is Fresno City College from the Tower District?
unsupervised,FACTOID,How far is Jacksonville from Miami?
unsupervised,FACTOID,How high are Victoria's alpine regions?
unsupervised,FACTOID,How high is the highest point in Warsaw?
unsupervised,FACTOID,How long did Julia Butterfly Hill live in a tree?
unsupervised,FACTOID,How long did Ms Kucukdeveci work for Swedex Gmbh & Co KG before she was dismissed?
unsupervised,FACTOID,How long did Western Europe control Cyprus?
unsupervised,FACTOID,How long does it take for the effects to manifest as changes to economic growth?
unsupervised,FACTOID,How long has free movement and trade been central to European development?
unsupervised,FACTOID,How long is one term for an elected president of the CJEU?
unsupervised,FACTOID,How long is the Rhine?
unsupervised,FACTOID,How long was Warsaw the capital of the Polish-Lithuanian Commonwealth?
unsupervised,FACTOID,How long would the invasion of the Middle East have to last in order to develop renewable resources?
unsupervised,FACTOID,How man people gather along the banks of the Vistula for the Wianki festival?
unsupervised,FACTOID,How many BSkyB channels were available to customers prior to October 2005?
unsupervised,FACTOID,How many Catholic schools were in Victoria?
unsupervised,FACTOID,How many Examination Boards exist in India?
unsupervised,FACTOID,How many French colonists were gained by British?
unsupervised,FACTOID,How many Frenchman won Battle of Carillon?
unsupervised,FACTOID,How many Huguenots fled France by the 1700s?
unsupervised,FACTOID,How many Huguenots were killed in Toulouse?
unsupervised,FACTOID,How many Khitan Tumens were there?
unsupervised,FACTOID,"How many Medieval Warm Period reconstructions covered 1,000+ years?"
unsupervised,FACTOID,How many Medieval Warm Period reconstructions were used?
unsupervised,FACTOID,How many Native American people resided in Fresno in 2010?
unsupervised,FACTOID,How many Victorians are Buddhist?
unsupervised,FACTOID,How many Victorians are non-religious?
unsupervised,FACTOID,How many academic research divisions does the University of Chicago have?
unsupervised,FACTOID,How many areas were impacted by the the death of vegetation in the 2010 drought?
unsupervised,FACTOID,How many atoms combine to form dioxygen?
unsupervised,FACTOID,How many avulsions have occurred in the past 6000 yeas?
unsupervised,FACTOID,How many beds does the Maria Sklodowska-Curie Institute of Oncology have?
unsupervised,FACTOID,How many bodies did Public Health England exhume?
unsupervised,FACTOID,How many bodies of water makes up Lake Constance?
unsupervised,FACTOID,How many botanical gardens does Warsaw have?
unsupervised,FACTOID,How many branches does the Rhine branch into?
unsupervised,FACTOID,How many buildings were razed by the Jacksonville fire?
unsupervised,FACTOID,How many campuses does the California State University have?
unsupervised,FACTOID,"How many cities in southern California have over 200,000 residents?"
unsupervised,FACTOID,"How many combinatory and graph theoretical problems, formerly believed to be plagued by intractability, did Karp's paper address?"
unsupervised,FACTOID,How many companies were listed on the WSE on August 2009?
unsupervised,FACTOID,How many companies were registered in Warsaw in 2006?
unsupervised,FACTOID,How many coordinating lead authors does an IPCC report chapter have?
unsupervised,FACTOID,How many counties initially made up the definition of southern California?
unsupervised,FACTOID,How many crank rotations are there in an engine cycle?
unsupervised,FACTOID,How many customaries does Norman customary law have?
unsupervised,FACTOID,How many cylinders does the Energiprojekt AB engine have?
unsupervised,FACTOID,How many dairy cows are there in Australia?
unsupervised,FACTOID,How many days did the Warsaw Uprising last?
unsupervised,FACTOID,How many days does the Council have to override the mayor's veto?
unsupervised,FACTOID,How many days does the Parliament have to nominate a First Minister after a General Election?
unsupervised,FACTOID,How many electorates does the State of Victoria have?
unsupervised,FACTOID,How many extended metropolitan areas are there?
unsupervised,FACTOID,How many factors of health and social problems did Wilkinson and PIckett identify?
unsupervised,FACTOID,How many farms are there in Victoria?
unsupervised,FACTOID,How many firms were existing in 2005?
unsupervised,FACTOID,How many fraternities form the University of Chicago Interfraternity Council?
unsupervised,FACTOID,How many full time teachers does Victoria have?
unsupervised,FACTOID,How many general principles does the Social Charter declare?
unsupervised,FACTOID,How many general questions are available to opposition leaders?
unsupervised,FACTOID,How many geomorphologic formations is Warsaw on?
unsupervised,FACTOID,How many homes had BSkyB's direct-to-home satellite service available to them in 2010?
unsupervised,FACTOID,How many households has kids under the age of 18 living in them?
unsupervised,FACTOID,How many housing units were there in 2000?
unsupervised,FACTOID,How many hundred of years was Scotland directly governed by the parliament of Great Britain?
unsupervised,FACTOID,How many inhabitants does the Los Angeles area contain?
unsupervised,FACTOID,How many interactions are all of the universal forces based on?
unsupervised,FACTOID,How many intercollegiate sports does Harvard compete in NCAA division I
unsupervised,FACTOID,How many kilometers is Warsaw from the Carpathian Mountains?
unsupervised,FACTOID,How many kilometers of acres of the Ecuadorian rainforest is supported?
unsupervised,FACTOID,How many lines does the commuter rail system have?
unsupervised,FACTOID,How many lines run out of Downtown Los Angeles?
unsupervised,FACTOID,How many main flows are branched off from the Nederrijn?
unsupervised,FACTOID,How many major ice ages have occurred?
unsupervised,FACTOID,How many mechanisms does a typical steam engine have to keep boiler pressure from getting too high?
unsupervised,FACTOID,How many megaregions are there in the United States?
unsupervised,FACTOID,How many members can voters choose to represent the constituency?
unsupervised,FACTOID,How many members in the seats of the Scottish Parliament are members of the Scottish Government?
unsupervised,FACTOID,How many men older than 18 are there for every 100 women?
unsupervised,FACTOID,How many men were in Robert's army?
unsupervised,FACTOID,How many miles east of Berlin is Warsaw?
unsupervised,FACTOID,How many miles south of San Jose is the north - south midway point located?
unsupervised,FACTOID,"How many miles, once completed, will the the Lewis S. Eaton trail cover?"
unsupervised,FACTOID,How many miners died in the typhoid outbreak of 1854?
unsupervised,FACTOID,How many museums are in Warsaw?
unsupervised,FACTOID,How many narrow gauge rail lines were previously government owned?
unsupervised,FACTOID,How many nations are within the Amazon Basin?
unsupervised,FACTOID,How many natural reserves are in Warsaw?
unsupervised,FACTOID,How many of Warsaw's inhabitants spoke Polish in 1933?
unsupervised,FACTOID,How many of the six total packages available to broadcasters was Setanta awarded?
unsupervised,FACTOID,How many paid holiday days do most member states require?
unsupervised,FACTOID,How many paid holiday days does the Working Time directive require workers to have each year?
unsupervised,FACTOID,How many parts does the consideration of a bill in Stage 3 have?
unsupervised,FACTOID,How many people did the Islamic State control the territory of as of March 2015?
unsupervised,FACTOID,How many people lived in Warsaw in 1939?
unsupervised,FACTOID,How many people were registered to receive the HD service prior to launch?
unsupervised,FACTOID,How many piston strokes occur in an engine cycle?
unsupervised,FACTOID,How many projects does the Centre currently realize a year?
unsupervised,FACTOID,How many protestants live in France today?
unsupervised,FACTOID,How many provinces did the Ottoman empire contain in the 17th century?
unsupervised,FACTOID,How many quadrangles does the Main Quadrangles have?
unsupervised,FACTOID,How many representatives does each electorate have?
unsupervised,FACTOID,How many reptiles have been discovered in the Amazon region?
unsupervised,FACTOID,How many residents does the greater metropolitan area have?
unsupervised,FACTOID,How many rival princes were involved in assassinating Gegeen?
unsupervised,FACTOID,How many rooms does the Warsaw Historical Museum have?
unsupervised,FACTOID,How many rows of combs are there?
unsupervised,FACTOID,How many same-sex married couples or partnerships were there?
unsupervised,FACTOID,How many scalar equations were formed into a set by James Maxwell?
unsupervised,FACTOID,How many schools of medicine were recognized in China?
unsupervised,FACTOID,How many scientists called to change the IPCC in Feb 2010?
unsupervised,FACTOID,How many seats are in the debating chamber?
unsupervised,FACTOID,How many seats did the SNP take from the Liberal Democrats?
unsupervised,FACTOID,How many seats does Victoria have in the Australian House of Representatives?
unsupervised,FACTOID,How many seats must a political party have to be represented on the Parliamentary Bureau?
unsupervised,FACTOID,How many settlers original settled in Manakintown?
unsupervised,FACTOID,How many soldiers were in each Tumen?
unsupervised,FACTOID,How many sources of European Union law are there?
unsupervised,FACTOID,How many species of bird and mammals are there in the Amazon region?
unsupervised,FACTOID,How many species of insects are known in the region?
unsupervised,FACTOID,How many species of trees can be found in the Amazon rainforest?
unsupervised,FACTOID,How many square kilometres of the Amazon forest was lost by 1991?
unsupervised,FACTOID,How many streetcars did the Fresno Traction Company operate in 1931?
unsupervised,FACTOID,How many teams did Los Angeles used to have?
unsupervised,FACTOID,How many television and radio channels could the new digital service carry?
unsupervised,FACTOID,How many tonnes of tomatoes does Victoria produce?
unsupervised,FACTOID,How many tree species are in the rainforest?
unsupervised,FACTOID,How many tree species were found in one square kilometer of Ecuadorian rainforest in 2001?
unsupervised,FACTOID,How many valves did the Corliss engine use?
unsupervised,FACTOID,How many vector equations did Heaviside and Gibbs reformilate Maxwell's 20 scalar equtions into?
unsupervised,FACTOID,How many vice presidents are on the Student Board?
unsupervised,FACTOID,How many women were employed in construction in 2011?
unsupervised,FACTOID,How many years have imperialistic practices existed?
unsupervised,FACTOID,How much area does the University Library garden cover?
unsupervised,FACTOID,How much did Silas B. Cobb pledge to the university?
unsupervised,FACTOID,How much did the IPCC Third Assessment Report say sea levels will rise from 1990 to 2100?
unsupervised,FACTOID,How much less steam did the Corliss engine use compared to the Watt engine?
unsupervised,FACTOID,How much of Jacksonville is made up of water?
unsupervised,FACTOID,How much of Poland's national income does Warsaw produce?
unsupervised,FACTOID,How much of the global wealth will the wealthiest 1 percent own by 2016?
unsupervised,FACTOID,How much of the sun is made up of oxygen?
unsupervised,FACTOID,How much of the water flow does the Waal get from the Rhine?
unsupervised,FACTOID,How much percentage of Victoria's land is taken up by farms?
unsupervised,FACTOID,How old was Toghun Temur when he became emperor?
unsupervised,FACTOID,How wide is the Rhine in Germany between Emmrich and Cleves?
unsupervised,FACTOID,"If a force is pointing horizontally to the northeast, how many forces can you split the force into?"
unsupervised,FACTOID,"If one computer model turns out correct, by what year would there be a nearly complete loss of rainforest in the Amazon basin?"
unsupervised,FACTOID,"If polynomial time can be utilized within an NP-complete problem, what does the imply P is equal to?"
unsupervised,FACTOID,"If there is a conflict between EU law and national law, which law take precedence?"
unsupervised,FACTOID,"If two thirds of the Rhine flows through the Maas, where doe the other one third flow through?"
unsupervised,FACTOID,"In 1962, who was responsible for the authorship of a paper published on real time-computations?"
unsupervised,FACTOID,"In 1992, what percentage of East German students attended private schools?"
unsupervised,FACTOID,In 2004 the Orange revolution occurred in what country?
unsupervised,FACTOID,In Sept 1760 who negotiated a capitulation from Montreal?
unsupervised,FACTOID,"In addition to English, what language is also often taught in Nepalese private schools?"
unsupervised,FACTOID,"In private schools, what language are classes taught in?"
unsupervised,FACTOID,In the 1980s what was the population of the amazon region?
unsupervised,FACTOID,"In the Philippines, what percentage of secondary school students attend private schools?"
unsupervised,FACTOID,"In the fall quarter of 2014, how many students signed up for the college?"
unsupervised,FACTOID,"In the fall quarter of 2014, how many students signed up for the university's four graduate divisions?"
unsupervised,FACTOID,In the year 2000 how many square kilometres of the Amazon forest had been lost?
unsupervised,FACTOID,In what English colony were Huguenot settlers promised land?
unsupervised,FACTOID,In what country can most of the Amazon rainforest be found?
unsupervised,FACTOID,In what country is Normandy located?
unsupervised,FACTOID,In what country was a full-scale working railway steam locomotive first invented?
unsupervised,FACTOID,In what decade was seafloor spreading discovered?
unsupervised,FACTOID,In what meeting did Shirley lay out plans for 1756?
unsupervised,FACTOID,In what month and year was the revised Manual of Regulations for Private Schools released?
unsupervised,FACTOID,In what state is the largest Huguenot Society located?
unsupervised,FACTOID,In what year did BankAmericard change its name?
unsupervised,FACTOID,In what year did Dewar experiment on liquid oxygen?
unsupervised,FACTOID,"In what year did Edmond's characterize a ""good"" algorithm?"
unsupervised,FACTOID,In what year did Fresno become an incorporated city?
unsupervised,FACTOID,In what year did Fresno experience the most rainfall?
unsupervised,FACTOID,In what year did Fresno get its first pedestrian mall?
unsupervised,FACTOID,In what year did Harvard President Joseph Willard die?
unsupervised,FACTOID,In what year did Harvard Stadium become the first ever concrete reinforced stadium in the country?
unsupervised,FACTOID,In what year did Harvard and Radcliffe admissions merge?
unsupervised,FACTOID,In what year did Harvard win an Intercolleiate Sailing Association National Championship?
unsupervised,FACTOID,In what year did Jerónimo de Ayanz y Beaumont receive a steam engine patent?
unsupervised,FACTOID,In what year did Lavoisier publish his work on combustion?
unsupervised,FACTOID,In what year did Malaysia receive its independence?
unsupervised,FACTOID,In what year did Massachusetts first require children to be educated in schools?
unsupervised,FACTOID,In what year did Newcomen's engine pump in a mine?
unsupervised,FACTOID,In what year did Pierre de Fermat declare Fermat's little theorem?
unsupervised,FACTOID,In what year did Raymond Sullivan publish a study of rudimentary sets?
unsupervised,FACTOID,In what year did Roger Rocka's Dinner Theater & Good Company Players open?
unsupervised,FACTOID,In what year did Savery patent his steam pump?
unsupervised,FACTOID,In what year did William Maclure begin the process of creating the first geological map of the U.S.?
unsupervised,FACTOID,In what year did a tropical storm cause a four day loss of power to Jacksonville?
unsupervised,FACTOID,In what year did developers Billings & Meyering acquire the Alta Vista Tract?
unsupervised,FACTOID,In what year did one individual suggest classifying the trees of the Amazon into four categories?
unsupervised,FACTOID,In what year did student decide to occupy the president's office?
unsupervised,FACTOID,In what year did the Amazon experience a drought that may have been more extreme than in 2005?
unsupervised,FACTOID,In what year did the Amazon experience its worst drought of recent history?
unsupervised,FACTOID,In what year did the Norman's invade at Bannow Bay?
unsupervised,FACTOID,In what year did the scavenger hunt begin?
unsupervised,FACTOID,In what year is the oldest pharmacy said to have been established?
unsupervised,FACTOID,"In what year of 20th century, did Harvard release an important document about education in America?"
unsupervised,FACTOID,In what year was Hatmanis and Stearn's seminal work in computational complexity received?
unsupervised,FACTOID,In what year was Henry Ware elected to chair?
unsupervised,FACTOID,In what year was Wisconsin v. Yoder decided at the Supreme Court?
unsupervised,FACTOID,In what year was the Alan Turing's definitional model of a computing device received?
unsupervised,FACTOID,In what year was the Corliss engine patented?
unsupervised,FACTOID,In what year was the Great Internet Mersenne Prime Search project conducted?
unsupervised,FACTOID,In what year was the Interstate Highway System created?
unsupervised,FACTOID,In what year was the Joe and Rika Mansueto Library constructed?
unsupervised,FACTOID,In what year was the charter granted for Harvard Corporation?
unsupervised,FACTOID,In what year was the first geological map of the U.S. produced?
unsupervised,FACTOID,In what year was the university's 5th president granted his position?
unsupervised,FACTOID,In what year will the Barack Obama Presidential Center be finished?
unsupervised,FACTOID,In which continent besides Asia were major gains made by the British Empire in the late 19th century?
unsupervised,FACTOID,In which year did a toxic waste spill from a European ship prompt the Commission to look into legislation against waste?
unsupervised,FACTOID,In which year did the newspaper change its previous definition?
unsupervised,FACTOID,Jean De Rely's illustrated French-language scriptures were first published in what city?
unsupervised,FACTOID,John Mayow died in what year?
unsupervised,FACTOID,Lake Constance separates the German state Bavaria from what other one?
unsupervised,FACTOID,MPs representing English constituencies can only veto laws affecting which country?
unsupervised,FACTOID,"Many changes in the vegetation of the amazon rainforest took place since the  Last Glacial Maximum, which was how many years ago?"
unsupervised,FACTOID,Ministers of what faith were trained by the university in early years?
unsupervised,FACTOID,Name a luxury division of Toyota.
unsupervised,FACTOID,Name a type of Toyota compact trucks?
unsupervised,FACTOID,"Name one country that banned boating, driving and flying on Sundays."
unsupervised,FACTOID,Near where in the continent is it believed that the Amazon basin split?
unsupervised,FACTOID,On what day does a General Question Time take place?
unsupervised,FACTOID,On what lake did troops attack fort willima henry in winter?
unsupervised,FACTOID,On what river does Warsaw stand?
unsupervised,FACTOID,"Other than 7 and 13, what other year interval do cicadas pupate?"
unsupervised,FACTOID,"Other than Point Conception, what landmark is used in the other definition of southern California?"
unsupervised,FACTOID,"Other than Universal and Warner Brothers, what other company runs a major record company?"
unsupervised,FACTOID,"Outside of Northern San Diego, which other region contains business districts?"
unsupervised,FACTOID,Over how many species of trees can be found in the Saxon Garden?
unsupervised,FACTOID,People of what nationality invented the steam turbine?
unsupervised,FACTOID,"Prior to the arrival of the French, the area now known as Jacksonville was previously inhabited by what people?"
unsupervised,FACTOID,Reports document that how many Parisien Protestants were killed by September 17?
unsupervised,FACTOID,Revolutionary civil disobedience towards culture is highlighted by example of who?
unsupervised,FACTOID,School desegregation in the United States led to an increased number of students of what ethnicity in public schools?
unsupervised,FACTOID,Since what year did the university offer a doctorate in music composition?
unsupervised,FACTOID,Sky Movies and Sky Box office also include what optional soundtracks?
unsupervised,FACTOID,Some of the income went to the purchase of arms which exacerbated political tension especially in which area?
unsupervised,FACTOID,Southern California is most famous for tourism and what notably named district?
unsupervised,FACTOID,Starting in what year has Harvard topped the Academic Rankings of World Universities?
unsupervised,FACTOID,Stromatoveris is similair to which genus?
unsupervised,FACTOID,The Bank of America Tower was previously known as what?
unsupervised,FACTOID,The Central Pacific Railroad established a station for its new line in what year?
unsupervised,FACTOID,The French church in Portarlington was built when?
unsupervised,FACTOID,The Huguenots were the first Europeans to live in what modern New York borough?
unsupervised,FACTOID,"The Kuznets curve says with economic development, inequality will decrease after what?"
unsupervised,FACTOID,The Los Angeles Rams are an example of what kind of sports team?
unsupervised,FACTOID,"The Ottoman empire controlled territory on three continents, Africa, Asia and which other?"
unsupervised,FACTOID,The Rhine first formed a boundary between Gaul and what else?
unsupervised,FACTOID,"The Rhine flowed through Swabia, Franconia and what other location in the 10th Century?"
unsupervised,FACTOID,The Rhine forms the border between Austria and what other country?
unsupervised,FACTOID,The UK and France had non interruptions in their oil supply as they did not allow which country to use their airfield?
unsupervised,FACTOID,The University of Chicago Library system has how many libraries in total?
unsupervised,FACTOID,The abolition of the Ottoman Caliphate is believed to have ended what system?
unsupervised,FACTOID,The area where Jacksonville currently sits has been inhabited for how many years?
unsupervised,FACTOID,The atomic number of the periodic table for oxygen?
unsupervised,FACTOID,The black plague ravaged Europe for three years followed by what country?
unsupervised,FACTOID,The house of the Baryczko merchant family is a notable example of what type of architecture?
unsupervised,FACTOID,The number of new Huguenot colonists declined after what year?
unsupervised,FACTOID,The perceived British policy of being hands off of its Muslim population has resulted in what derogatory term for London?
unsupervised,FACTOID,The principle of faunal succession was developed 100 years before whose theory of evolution?
unsupervised,FACTOID,The region spans starting at islands found in which body of water?
unsupervised,FACTOID,"The term ""southern"" California usually refers to how many of the southern-most counties of the state?"
unsupervised,FACTOID,The term may be related to what politician from Switzerland?
unsupervised,FACTOID,The university established a center in Beijing in what year?
unsupervised,FACTOID,The university's center in Beijing is located next to what school's campus?
unsupervised,FACTOID,The west side of Fresno is the center of which ethnic community?
unsupervised,FACTOID,Theories on imperialism use which country as a model?
unsupervised,FACTOID,There are 34 cities in southern California that have a population exceeding what number?
unsupervised,FACTOID,There have been major changes in Amazon rainforest vegetation over the last how many years?
unsupervised,FACTOID,There's a rough border between Switzerland and what other country formed by the Rhine?
unsupervised,FACTOID,"This person proposed explanations for the origins of earthquakes and the formation of mountains, what was his name?"
unsupervised,FACTOID,To what gauge have some lines been changed in the west of Victoria?
unsupervised,FACTOID,To what level would the polynomial time hierarchy collapse if graph isomorphism is NP-complete?
unsupervised,FACTOID,US is concerned about confrontation of the Middle East with which other country?
unsupervised,FACTOID,University City is an example of a business district located in which city?
unsupervised,FACTOID,Up to what age do students in the United Kingdom attend preparatory schools?
unsupervised,FACTOID,WHat allows customers to get Sky+ functions if they do not subscribe to BSkyB's channels?
unsupervised,FACTOID,What British Prime minister advisor is also a university alumni member?
unsupervised,FACTOID,What Chinese era name did Kublai adopt?
unsupervised,FACTOID,What Harvard Alumni was the Palestine Prime Minister?
unsupervised,FACTOID,What Jacksonville community is known for having heavy ties to the Navy?
unsupervised,FACTOID,What Microsoft CEO is also an alumni of the University of Chicago?
unsupervised,FACTOID,What Nobel Memorial Prize in Economic Sciences winner is also a university alumni member?
unsupervised,FACTOID,What Revolutionary War midnight rider was a Huguenot descendant?
unsupervised,FACTOID,What Shakespeare scholar is currently on the university's faculty?
unsupervised,FACTOID,What Swiss city was the center of the Calvinist movement?
unsupervised,FACTOID,What US war caused a high amount of civil disobedience?
unsupervised,FACTOID,What US war has a large amount of Civil Disobedients?
unsupervised,FACTOID,What alumni member also write the bestseller Before I Fall?
unsupervised,FACTOID,What alumni was also Obama's campaign adviser?
unsupervised,FACTOID,What alumni was also an Attorney General and a federal judge?
unsupervised,FACTOID,What archdiocese is Warsaw the seat of?
unsupervised,FACTOID,What architecture type came before Norman in England?
unsupervised,FACTOID,What are BSkyB's standard definition broadcasts compliant with?
unsupervised,FACTOID,What are the total number of votes to be counted during the voting process?
unsupervised,FACTOID,What area has become attractive for restaurants?
unsupervised,FACTOID,What astronomers is also a university alumni member?
unsupervised,FACTOID,What award was given to Corliss?
unsupervised,FACTOID,What can orthogonal forces be when there are three components with two at right angles to each other?
unsupervised,FACTOID,What channel replaced Sky Travel?
unsupervised,FACTOID,What chemist managed to make enough liquid oxygen to use for study?
unsupervised,FACTOID,What chemist showed that fire needed only a part of air?
unsupervised,FACTOID,What city did the Grand Canal reach during the Yuan?
unsupervised,FACTOID,What city has the biggest port in Germany?
unsupervised,FACTOID,What company developed the most successful steam engine indicator?
unsupervised,FACTOID,What country currently has a group who call themselves Huguenots?
unsupervised,FACTOID,What country did the Normans invade in 1169?
unsupervised,FACTOID,What country does the Moselle take the Rhine to?
unsupervised,FACTOID,What country has the most factories that pollute the Rhine?
unsupervised,FACTOID,What country has the most illiterate adults in the world?
unsupervised,FACTOID,What day of the week are general elections held?
unsupervised,FACTOID,What denomination is associated with Saint Kentigern College?
unsupervised,FACTOID,What did ITV increase their yearly offer for control of the rights to broadcast the Primer League to?
unsupervised,FACTOID,What did Iqbal's Allahabad address inspire?
unsupervised,FACTOID,What did Mitsubishi rename its Forte to?
unsupervised,FACTOID,What did the 18th century Huguenot group call themselves?
unsupervised,FACTOID,What did the license to build this type of car expire in 2011?
unsupervised,FACTOID,What did water that flowed towards the Pacific have to flow across during the mid-Eocene?
unsupervised,FACTOID,What do all member states agree takes precedence over national law?
unsupervised,FACTOID,What do supporters of Islamism believe their views reflect?
unsupervised,FACTOID,What does a receiver have to be equipped with to view encrypted content?
unsupervised,FACTOID,What does most of the HD material use as a standard?
unsupervised,FACTOID,What does the average temperatures exceed in the summer?
unsupervised,FACTOID,What entity owns V/Line?
unsupervised,FACTOID,What ethnicity was Shi Tianze?
unsupervised,FACTOID,What famous snowbaorder lives in southern California?
unsupervised,FACTOID,What gauge of rail lines do two tourist lines use?
unsupervised,FACTOID,What group has no feeding appendages?
unsupervised,FACTOID,What had the number of people living in Warsaw declined to by 1945?
unsupervised,FACTOID,What has partical physics made to describe sub-atomic forces?
unsupervised,FACTOID,What hypothesis is associated with the complexity class of P viewed as a mathematical abstraction with efficient algorithmic functionality?
unsupervised,FACTOID,What institution does Robert Barro hail from?
unsupervised,FACTOID,"What interpretation of Islam is, for many of the adherents, the ""gold standard"" of their religion?"
unsupervised,FACTOID,What is Europe's largest inland port?
unsupervised,FACTOID,What is Harvard's most intense rival?
unsupervised,FACTOID,What is Jacksonville's hottest month on average?
unsupervised,FACTOID,What is Jacksonville's hottest recorded temperature?
unsupervised,FACTOID,What is Norman art's most well known piece?
unsupervised,FACTOID,What is William Rankine's nationality?
unsupervised,FACTOID,What is a regulatory factor produced by macrophages?
unsupervised,FACTOID,What is a turbine's theoretical Carnot efficiency?
unsupervised,FACTOID,What is an example of a parasite that used the antigenic variation strategy to evade destruction?
unsupervised,FACTOID,What is another country that permits physicians to give out drugs from within their practice?
unsupervised,FACTOID,What is another term for year 12 of education?
unsupervised,FACTOID,What is the Canal in Wesel?
unsupervised,FACTOID,What is the Chinese name for the Yuan dynasty?
unsupervised,FACTOID,What is the Saxon Garden in Polish?
unsupervised,FACTOID,What is the approximate turbine entry temperature of a gas turbine?
unsupervised,FACTOID,What is the atomic number of the element oxygen?
unsupervised,FACTOID,What is the average construction salary in the Middle East?
unsupervised,FACTOID,What is the average construction salary in the UK?
unsupervised,FACTOID,What is the bond order of dioxygen molecules?
unsupervised,FACTOID,What is the center library in the Harvard library system?
unsupervised,FACTOID,What is the current number of electors currently in a Scottish Parliament constituency?
unsupervised,FACTOID,What is the final stage of a bill in the Scottish Parliament?
unsupervised,FACTOID,What is the gender income inequality in Bahrain?
unsupervised,FACTOID,What is the height of the section that turns north?
unsupervised,FACTOID,What is the high end of the temperature range in winter?
unsupervised,FACTOID,What is the highest peak in Victoria?
unsupervised,FACTOID,What is the hottest temperature record for Fresno?
unsupervised,FACTOID,What is the largest city in all of California?
unsupervised,FACTOID,What is the law of thermodynamics associated with closed system heat exchange?
unsupervised,FACTOID,What is the lone MLS team that belongs to southern California?
unsupervised,FACTOID,What is the low end of the temperature range in summer?
unsupervised,FACTOID,What is the lower house of the Victorian parliament called?
unsupervised,FACTOID,What is the main gap to continued urbanization?
unsupervised,FACTOID,What is the minimum distance between a patient's home and the nearest pharmacy that allows a physician to give out medication?
unsupervised,FACTOID,What is the most rainfall recorded in a 24 hour period in Fresno?
unsupervised,FACTOID,What is the most snow Fresno has ever had?
unsupervised,FACTOID,What is the name for a problem that meets Ladner's assertion?
unsupervised,FACTOID,What is the name of the American writer and satirist who is also a university alumni?
unsupervised,FACTOID,What is the name of the Bungie Inc. founder who is also a university graduate?
unsupervised,FACTOID,What is the name of the Chairman of the Board of Trustees?
unsupervised,FACTOID,What is the name of the Pulitzer Prize novelist who was also a university alumni?
unsupervised,FACTOID,What is the name of the area past the border that the megaregion extends into?
unsupervised,FACTOID,What is the name of the area that the main campus is centered in Cambridge?
unsupervised,FACTOID,What is the name of the desert city?
unsupervised,FACTOID,What is the name of the desert near the border of Nevada?
unsupervised,FACTOID,What is the name of the professional skateboarder that lives in southern California?
unsupervised,FACTOID,What is the name of the state that the megaregion expands to in the east?
unsupervised,FACTOID,What is the name of the university's summer festival?
unsupervised,FACTOID,What is the name of the water body that is found to the east?
unsupervised,FACTOID,What is the name of the winter festival held in January that is based on fitness?
unsupervised,FACTOID,What is the natural dam that the Rhine flows through?
unsupervised,FACTOID,What is the number of Constituency MSPs?
unsupervised,FACTOID,What is the number of plant species in economics and social interest?
unsupervised,FACTOID,What is the other country the Rhine separates Switzerland to?
unsupervised,FACTOID,What is the oxygen partial pressure of space suits?
unsupervised,FACTOID,What is the population of the Greater Los Angeles Area?
unsupervised,FACTOID,What is the population of the second largest city in California?
unsupervised,FACTOID,What is the position of the satellite that allowed sky to broadcast channels almost elclusively for the United Kingdom?
unsupervised,FACTOID,What is the principle about relating spin and space variables?
unsupervised,FACTOID,What is the prize offered for finding a solution to P=NP?
unsupervised,FACTOID,What is the ranking of the military forces in Jacksonville?
unsupervised,FACTOID,What is the term of office for each house member?
unsupervised,FACTOID,What is the total cost of attendance in 2012-13?
unsupervised,FACTOID,"What is the turbine entry temperature of a steam turbine, in degrees Celsius?"
unsupervised,FACTOID,What is the upper house of the Parliament of Victoria called?
unsupervised,FACTOID,What is the upper range of annual fees for non-boarding students in British public schools?
unsupervised,FACTOID,What is the worlds largest academic and private library system?
unsupervised,FACTOID,What is tuition for 2012 - 13 year at Harvard?
unsupervised,FACTOID,What language is used in Chinese primary schools in Malaysia?
unsupervised,FACTOID,What leader of the Swiss reformation was a student of Lefevre?
unsupervised,FACTOID,What liberal succeeded Joseph Willard as president?
unsupervised,FACTOID,What magnitude was the 1994 Northridge earthquake?
unsupervised,FACTOID,What mathematician was also apart of the university's faculty?
unsupervised,FACTOID,What medical treatment is used to benefit patients with hearth and lung disorders?
unsupervised,FACTOID,What minimalist composer is also a university graduate?
